"id","campus_id","name","surname","username","email","telephone","roles","password","actif","url_photo"
"2109","101","Leleu","Éric","lebon.christine","vblin@neveu.com","08 92 20 41 37","[""ROLE_USER""]","47c17b38ee9f98a00041878308fbe716cbe91e35e9d099285537dfd2c44b5b88","0","https://via.placeholder.com/640x480.png/006666?text=suscipit"
"2110","104","Ruiz","Gérard","margot.carpentier","emilie25@lebon.net","+33 4 37 10 92 64","[""ROLE_USER""]","9e3af5438dbc4cc9c9b7610c136c087522b455bee54af037f44e5a0719facecc","1","https://via.placeholder.com/640x480.png/0099aa?text=quae"
"2111","103","Lacroix","Pierre","leon.bonneau","martel.christiane@hotmail.fr","03 14 64 94 51","[""ROLE_USER""]","38530e0f7a0bf12566b29d71df34e6d996cefd13585f316e712cc01bd602ab68","1","https://via.placeholder.com/640x480.png/001122?text=quae"
"2112","103","Petitjean","Caroline","constance.dacosta","pineau.anais@ifrance.com","+33 4 22 10 67 66","[""ROLE_USER""]","7e9749a541f85c23b30113a82e66f77cb7dd1fdcd1c38f4274b5d40bcd104234","0","https://via.placeholder.com/640x480.png/00cc44?text=quis"
"2113","102","Marie","Dominique","benoit.margot","laurence.laporte@live.com","+33 (0)7 46 81 50 61","[""ROLE_USER""]","61004a98758fc82f33efe6546a0ee13eb54e12a0b02e7c4b7f814db2dd8ce9be","1","https://via.placeholder.com/640x480.png/0033cc?text=sit"
"2114","102","Brun","Sébastien","hcordier","martineau.christelle@baudry.com","09 65 71 89 52","[""ROLE_USER""]","25a8e9e2a85f3fd38c533f5f741116c61b20aa4390393c5b0d757b39b225684e","0","https://via.placeholder.com/640x480.png/00ccff?text=harum"
"2115","105","Daniel","Robert","aurelie.descamps","danielle39@tele2.fr","04 65 38 61 45","[""ROLE_USER""]","c2f4ffa284f2ab39f216783944e4950fe6e4910a8e652198eabd8a4419f2a84a","0","https://via.placeholder.com/640x480.png/008866?text=sunt"
"2116","105","Dufour","Manon","frederique.benoit","lorraine33@laposte.net","+33 4 23 19 40 27","[""ROLE_USER""]","14f1075ecf8060f29f3512d6bb25adbf3a06d6e3c6e991136ee026b756342e8e","1","https://via.placeholder.com/640x480.png/003300?text=nisi"
"2117","102","Gerard","Pénélope","wjoubert","vdufour@wanadoo.fr","+33 (0)1 61 27 52 95","[""ROLE_USER""]","dfae181efd5a9389830f72f5651863fd0f877f21732acf67155ad31d048ce177","0","https://via.placeholder.com/640x480.png/00aa44?text=odio"
"2118","104","Rey","Édith","gilles45","xbouvet@charles.com","07 67 60 96 75","[""ROLE_USER""]","b91b8248a797279d1eb437f4623b1b39d98dfbfc17cb5a32a43f06c897c1a41f","1","https://via.placeholder.com/640x480.png/005522?text=error"
"2119","102","David","Eugène","rbarbier","alexandre.hernandez@laposte.net","0516703351","[""ROLE_USER""]","b3d1f2cb4bbfaa8bf815867a469f355e19d3bf5c743159901a7e093a342d5294","1","https://via.placeholder.com/640x480.png/004400?text=et"
"2120","101","Bazin","William","albert.jean","menard.margaud@perrot.org","+33 8 95 81 29 75","[""ROLE_USER""]","9ad027ce47f537bd05f996d7b67924d1d323cde7d46d602c5299fd02af9e5674","1","https://via.placeholder.com/640x480.png/0022bb?text=aperiam"
"2121","101","Bouvet","Julien","unormand","luce40@pierre.com","0199784778","[""ROLE_USER""]","7afeb1e84022fe97ffc90e062b59549a18ab19eaddbf5ce02135469acdf04812","1","https://via.placeholder.com/640x480.png/000000?text=harum"
"2122","104","Guillot","Jérôme","sophie83","charles.louise@laposte.net","06 37 58 50 46","[""ROLE_USER""]","0ef611a0ee8f08bff4c14a64074e976c0255b77684d0cedef72078186bb208ad","0","https://via.placeholder.com/640x480.png/007766?text=architecto"
"2123","101","Guillon","Jean","raymond46","margaud.guillaume@blot.fr","0755438809","[""ROLE_USER""]","a16e0432b416b3e30e8e320742c9394f0bc24b2286a888a6285d19ceed20b53c","0","https://via.placeholder.com/640x480.png/004488?text=non"
"2124","103","Morin","Aimé","cbaron","alphonse.leroux@voila.fr","06 68 83 02 97","[""ROLE_USER""]","fdb61c52bd7c8f7d17ee10841c5da77ebc6e042c253e080bfb0cb0015dda9179","1","https://via.placeholder.com/640x480.png/00aadd?text=vel"
"2125","101","Bourgeois","Alphonse","celine.thomas","hvalentin@morel.com","0201548476","[""ROLE_USER""]","675d70a7d830791b16038638f7316877558e461c9a11ca19749d908b2a620324","1","https://via.placeholder.com/640x480.png/009988?text=quidem"
"2126","103","Ruiz","Frédérique","guy80","marthe.roussel@noos.fr","+33 (0)2 24 45 42 54","[""ROLE_USER""]","b2bb63951e9ff4a24b15059913ad3ba604630262c9c561059e4520431bc31efd","1","https://via.placeholder.com/640x480.png/000088?text=assumenda"
"2127","102","Ramos","Anaïs","francoise58","fturpin@sfr.fr","+33 6 26 74 58 20","[""ROLE_USER""]","6d12355b3dca867bf17448c09622f5936b6f04af53ad0899944772fd2e69d711","1","https://via.placeholder.com/640x480.png/009977?text=tempora"
"2128","103","Peron","Roland","edouard70","jacqueline99@bernard.net","+33 4 14 77 09 16","[""ROLE_USER""]","8f90bb96134c630a22c43d4c205522ccac5c25b998e26ee2e4eb102aeabdbd5f","0","https://via.placeholder.com/640x480.png/00dddd?text=culpa"
"2129","102","Martin","Jules","dguyot","laurent.lacombe@blanchet.fr","0940440570","[""ROLE_USER""]","ad1d802698bdbc311782e0f249be331ccba5fedeb0f7f068c5bf06298d7e900e","1","https://via.placeholder.com/640x480.png/006611?text=ipsum"
"2130","102","Boulay","Emmanuel","zauger","girard.franck@free.fr","+33 (0)5 17 68 74 36","[""ROLE_USER""]","40051900270a7f98e7403fe9fc0565280d6959db06e844d19a2fa0574b1726c5","0","https://via.placeholder.com/640x480.png/008811?text=provident"
